Disease name	List of shared genes
"Cardiac Arrhythmia, Ankyrin-B-Related"	LDLR;G6PC2;PREX1;C6orf10;PAQR4;ZFP36L1;HLA-DQB1;RFTN1;THSD7B;LOC100289473;CDKN2B-AS1;CRTC1;FOXE1;CLEC16A;PVT1;PLA2R1;ST3GAL4;SLC6A1;EDA;FONG;LRP1;CYP1A1;C6orf97;C20orf196;NCAM2;SLC25A43;TP63;EGR2;CSF2RB;SALL4;CYP20A1;SCN5A;
Nail Diseases	ZMIZ1;SLC1A7;ARHGEF3;HNF1A;IL1RAP;ABCC4;PDLIM5;SLC14A2;TMTC2;HHEX;KCNQ1;MYH9;CPAMD8;ATP1B1;KIF11;FBN2;REL;BBX;HMGCR;DBC1;SFPQ;CARD9;MEIS1;PRPH;BRSK1;ADRA2A;KCNH2;CENPW;SLC22A3;MEIS2;TYR;LOC391642;CHIC2;ILKAP;
Cervical Intraepithelial Neoplasia	TMEM175;REL;SCN5A;TRPS1;ETS1;CCDC64;CREB5;LCE3E;GRIN2B;DCLK1;BST1;CLPTM1L;CADM3;TNFAIP2;KIF13A;HTR4;SLC44A5;AK3;CD180;STARD9;PRDM16;
"Carbohydrate Metabolism, Inborn Errors"	TSEN2;IL12A;GLIS1;LRP5;BIN2;PKNOX2;NLGN1;SLC30A8;MCPH1;NOS1AP;NAALADL2;ITIH1;IRX4;THSD4;CDH4;TNFRSF11A;TNRC6B;MTNR1B;COL13A1;PDE4D;FREM1;ZBTB38;FCER1A;NEGR1;
Conduct Disorder	PARD6B;IL1RAP;KRT18P32;LIPC;HLA-DRA;MUC1;NRSN1;BMP4;LOC441167;TOMM40;ZDHHC19;UNC13C;RNU7-62P;CYP1A1;NFIA;MAPT;HDAC9;CYP2C9;TNRC6B;FRMD6;SLC7A9;HCCS;ATP13A2;WNT11;IPPK;HLA-F;IL28B;NRG1;REL;CUBN;TRPT1;NFAT5;PLXNA1;
Delirium	TOMM40;TSLP;LRP1B;ADH1C;KIDINS220;MTHFR;PDGFRA;ELMO1;PVRL2;FOXO3;ZBTB40;DLEU7;TGM5;BET1L;ANKRD6;PSORS1C1;HLA-B;CCHCR1;GLT25D2;RBPMS;CD40;CAMK2B;SH3GL2;CDC42BPB;TMEM50A;TSEN15;GTF2E2;ABCA1;GCK;TSHR;TAGAP;WNT10A;IREB2;ZNF259;SP140;SAE1;IGF2;TMEM57;PAX5;FOXG1;FOXP4;HLA-DPB2;H2AFY;IRF4;UGT1A10;SLIT3;POU5F1;SLC22A3;
Lung Neoplasms	TMTC1;C2CD4A;PRKG1;PALB2;UNC5C;MALT1;HDAC11;TERT;PCIF1;PLTP;ABCG8;GPC5;IL1RAP;CADPS2;GCKR;PTPRG;PSMD6;EPAS1;SLCO1C1;PRF1;PHRF1;
Hemorrhoids	CDKN2B-AS1;MAVS;MYH9;CMAS;WDFY4;PHEX;GPLD1;PCDH9;LASS4;IL23R;MTCH2;PAPL;CHRDL1;ITGAM;CDK10;CDC42EP3;ZNF101;ATP13A2;GDA;C6orf103;
Nasal Polyps	CADM3;IL17REL;UNC5C;HLA-DRB1;PTPRD;KCNE3;ANTXR2;CRTC3;PRF1;GRM7;ATRIP;JAK2;LAMP3;TOX;ICOSLG;HLA-DPA1;IL18R1;BST1;DARC;DNAI2;PHF19;PKNOX1;SAE1;FER1L4;MXI1;LMO4;
Cellulitis	BATF;ZNF292;CRP;CDH9;DGKH;RGL1;B3GNT2;LOC284998;LRRC32;ZFP36L1;UGT1A10;PTPRG;PLA2G6;SIAE;SOST;CXCL12;CENPC1;CUBN;CCDC63;SLC22A3;NINJ2;ADIPOQ;MPPED2;ABCA1;CDH2;HS6ST3;RYR3;NOTCH4;SLC14A2;ZNF280B;GPR65;TNFRSF1A;FHIT;MUC7;ABCB11;C14orf181;GATA3;SLC24A4;FOXO6;UBE2D1;GRM8;PRKAG2;KCNJ11;PTPRD;ABCA7;PRF1;EREG;G6PC2;IL5;CCND2;ABCG8;TRAF3;MPDU1;MICAL3;DPP6;DCDC2;KCTD2;DCDC5;FCGR2A;ARSB;ATOH7;MAP2K5;IL7R;KIAA1109;SEZ6L;TNIP1;IBSP;FLG;CSF1;TFPI;MYP11;RORA;RASGRP4;STAB2;TAL2;ARHGEF3;TNNT3;AGPAT3;GLIS3;HLA-B;C16orf78;SCN7A;LIN28B;HOXC13;MYNN;HRG;PSD3;RBFOX1;IL12B;ADH1C;ACTN1;CDK2;PARD3B;NUBPL;ZNF827;GLG1;CLPTM1L;SCN5A;GSDMA;HTR4;MN1;NCAM2;CLSTN2;SFPQ;SH3BP5;FAM135B;UPP2;TNFRSF11B;KIDINS220;SREBF1;ZNRD1;ARAP1;LASS4;
Ovarian Cysts	DKK1;TNRC6B;CPAMD8;GPC5;ABCA1;CHRNB4;LRP1B;LINGO2;ARHGAP24;PRNP;CGNL1;
Cerebrovascular Disorders	GLIS3;SLC22A5;C8orf80;MRC1;ABCA1;MAPK1;KIF11;GAB1;ITGA8;CDKN2B-AS1;SIAE;PLA2R1;HLA-E;SLC6A6;RHOD;MDGA2;ADH1C;GPR35;OVOL1;
Rhabdomyolysis	ZGPAT;RTEL1;SLC25A43;KCNJ11;UGT1A1;UGT1A10;CYP20A1;CACNB2;TNIP1;CASQ2;IRGM;FARP1;ENG;DISC1;EXOC2;
Urinary Bladder Neoplasms	HLA-DPA1;MYC;KCNQ1;NAB1;TRIM4;ITPR3;PDE7B;ZNF462;IL6R;KATNAL2;IRF4;PLAG1;ZNF341;GRIA1;CLU;FBXO40;FAM91A1;PTPRD;TFF1;KCNE3;CENPW;CEP250;TP63;IREB2;BRSK1;HPR;SGSM2;CDH1;ZFP90;LOC100132612;
"Phobia, Specific"	CAMKK1;ICAM1;TNRC6B;ABCG8;ZNF521;IRF8;SLC30A7;ALPK1;L3MBTL3;NPLOC4;LBX1;TYK2;C5orf56;CAV1;ANKRD6;ZMAT4;FOXO1;S100A5;DLEU7;MMAB;
"Tooth Eruption, Ectopic"	ADH1C;NCAM2;GRM5;NDFIP1;DENND1A;MERTK;KIRREL3;SLC9A9;ABCG5;TMEM175;NOD2;CTBP2;ANK3;OVOL1;SLC22A11;ANO6;TNFRSF21;FREM1;DNM1;PSMG1;OCM2;SH3GL2;SOX17;DNAH11;TNFSF11;ADK;
Blister	GPR126;BAD;TRPT1;IL12B;ZNF706;LRIG1;ACE;SPPL3;NCALD;ZBTB17;PLEKHA1;ZNF280B;ARG1;PRKAR2B;ABCG2;FRMD6;RGS1;ZNF365;GHSR;
Sepsis	SLC9A9;TIMM23;BLK;CR1L;DNAJC6;ZBTB16;CLSTN2;HMGA1;KCNE4;RASGRP1;PANK1;PTPRG;LAMA2;RSPH6A;FRMD6;TTR;HLA-DRB1;PUS10;NOV;GDA;STMN2;SLC8A3;SOX17;SERPINH1;GRM7;SREBF1;ATOH7;
Hematuria	FHIT;MUC22;HLA-A;SH3GL3;HLA-B;ARHGAP10;MICB;LMX1B;DLG2;NKX2-1;HCG9;ETS1;LPP;TNXB;BAT1;MYT1L;C6orf10;SOX5;HLA-DRA;PICALM;HLA-DQB1;NFKBIZ;PHRF1;HLA-F-AS1;DENND1B;PKN2;SLCO3A1;NOTCH4;CCHCR1;PLTP;COL11A1;PTPRD;CD163;ARG1;PLCE1;SELP;ESRRG;DTNB;AMIGO2;PVT1;BAG6;MSH5;UNC13C;TMEM44;TFPI;PLXDC2;ANKLE1;IKZF3;IGF2BP2;DLEU7;PLCL2;ARHGEF3;ZIC1;HLA-DRB1;FUT8;MGST3;FRS2;GPR126;ZNRD1;ATP6V0A4;BCL11A;MYH6;MOBKL2B;C9orf5;ACOXL;BUD13;GSDMB;UQCC;RPL5;VAV2;MALT1;QKI;NTM;OR10J3;ARL6;CD40;KSR2;
"Laryngeal Atresia, Encephalocele, and Limb Deformities"	ACCN1;GCOM1;KCNJ11;C2orf86;RPS11;MC1R;CENPF;AAK1;MACROD2;SLCO6A1;CTAGE12P;CSMD1;HOXC13;DIP2C;PKNOX1;PTPRD;MOBKL2B;SPATA7;BICD1;ATP8B1;C8orf12;MERTK;BMPR1B;ANXA13;FREM1;ZMIZ1;SLC45A2;KIRREL3;FAIM2;RBBP6;NXPH2;
Bronchiectasis	KIF21B;C1orf81;CUBN;HLA-DRB1;SIPA1L1;MTOR;SLC22A4;TNFRSF10A;ATOH7;UCK2;INO80D;AGER;SLC22A5;TNFSF15;C5orf56;LRIG1;LOC100289058;
"Diabetes Mellitus, Type 1"	HLA-DRB1;HLA-DQB1;TCF7L2;HLA-DRA;CFH;HHEX;TNXB;C6orf10;BTNL2;ZMIZ1;SIPA1L1;GTF2E2;FBXL20;HLA-DQA2;CDKAL1;MERTK;MSH5;BAG6;NKX3-1;INS;MSRB3;ZNF462;BAK1;NAA25;RBBP6;DUPD1;WDR66;BET1L;CKAP5;IL1RAP;FAT4;IKZF1;ATOH7;CENPW;SPIB;DPP6;
Dupuytren Contracture	GLTSCR1;SHROOM3;FRS2;SLC2A9;SLC7A9;MRPS30;ZNF521;ASB1;IGF2BP1;TRIM24;CUBN;TNFRSF19;PICALM;CAST;ERAP1;
Appendiceal Neoplasms	TCF4;AMIGO2;MORN2;PAPL;IL12A;ICAM1;BAK1;CYP1A1;MGST3;CCND2;PSCA;SDK1;RHOU;LRRN4;
"Pulmonary Hypertension, Primary, Autosomal Recessive"	ULBP1;BTD;IRF4;BCMO1;KCNH8;NCALD;MSRA;PDGFRA;FCER1A;STARD13;ACP5;PLCE1;PRKD2;BMP6;ATP2B1;CDC42EP3;AHI1;LPHN1;QSOX2;CRTC3;NLGN1;C15orf38;EEF1A1P14;
Thyroiditis	FOXE1;DLEU7;CD86;STARD3NL;PCSK9;HPR;PTPN22;PDE3A;ABO;SLC9A9;SASH1;EPC2;DNM3;DAPK1;BCMO1;EXOC4;ANGPTL6;UBE2Q2;CEP250;TMEM79;HLA-DQA2;CAST;MGC45800;IL1RAP;PROX1;IGLL1;
"Intestinal polyposis, osteomas, sebaceous cysts"	JAG1;TNRC6B;DNAH11;CLPTM1L;C6orf103;PLAG1;EDA;MICB;VGLL3;SF1;MFHAS1;PALMD;ADCY9;RBMS3;HNF1A;BAT1;GAB1;BCL11A;WDR72;BRSK1;LIPC;POLR2A;CHL1;TOMM40;MUC7;WLS;TACC3;EXOC3L2;CLVS1;IRF4;PHGDH;TOPBP1;CDH8;CDRT4;NLRP11;PCSK5;NRG3;KIF21B;TRIM38;
Familial Acute Myeloid Leukemia with Mutated Cebpa	HTR4;CYP2C19;HLA-DOA;CDH13;PRPSAP2;BTNL2;NXPH2;STX4;VKORC1;PLCB2;CCR6;PCSK2;GAB3;PRKD2;DNAH5;ABCA1;SLC22A12;TRPM8;ZNRD1;MIPEP;IL7R;MITF;ARID5B;KCNQ1;
Otitis Externa	ASAH1;GRM7;ZFP36L1;SFPQ;HLA-B;DENND2A;RELN;HELQ;DCC;ZNF365;VGLL3;PKDCC;SELL;FCRL3;ADAMTS12;TNIK;ZNF521;DGKH;ARPP21;ARMC2;FCGR2A;
Endometriosis	SGSM2;CPAMD8;IL33;ANKLE1;SRR;TMCC2;SH2B3;ATXN2;PKHD1;RASGRP4;TRAF3;BRAP;LDHA;LRP1;FUNDC1;LPP;C5orf56;NAA25;APOB;EGR2;NOS1AP;IL1RL1;CRTAC1;CFH;SLCO5A1;
Retinal Hemorrhage	DNAH11;TCL1A;NCAPD3;FUT6;RAB3GAP1;TTC7B;HLA-DQB1;RPSAP52;MTHFR;GRB14;EPC2;HUNK;TP53INP1;ATP2B1;POU2F1;FTO;HLA-DRB1;PPM1E;FAM126A;NCALD;PDE4D;EXTL2;AGXT2;UNC13C;TRPS1;ARL15;
Pericarditis	ZP4;DENND4A;CNNM2;NOG;ZNF280B;IL2RA;HLA-DRA;EFHD1;MAF;CYP17A1;KIAA1109;CUBN;DCDC2;TNFRSF19;FAF1;HNF1A;LDLR;RPS6KB1;PDXDC1;CSMD1;MEIS1;RUNX3;IL1RAP;TBX3;ANKRD55;MTNR1B;HUNK;BTNL2;ST8SIA1;NFE2;CD247;ATF1;IL12B;MSRA;AGPHD1;GHSR;IRF5;EPC2;NAB1;C1QTNF6;TNFRSF11B;ZNF93;SLC1A7;MMEL1;PDE4D;CEP250;
Acidosis	RAD50;C15orf38;LPL;TNFSF13;FBN2;MDM4;HNF4A;PTGFR;ESR1;PDE3A;PCSK2;FAM55B;CRTAC1;DYRK1A;PSORS1C1;SLCO5A1;MXI1;
Pancreatitis	AR;NELL1;AGPAT3;JAZF1;PON1;ISM1;AHRR;DBC1;ITM2A;ANKLE1;SLC15A4;CCDC64;NUBPL;UNC13C;DLG2;LCORL;DAB2IP;HMGCR;PHRF1;BTN1A1;CPAMD8;DNAH11;USP40;TMCO1;
Cystitis	TYR;ZNF498;ERCC4;INS;NPLOC4;HNF1A;ATG16L1;C9orf5;HIST1H3B;HHIP;CDKN2B-AS1;MAVS;PSCA;FLJ41733;ZMIZ1;CCHCR1;GLIS3;ANO3;ESRRG;NXPH1;PADI4;CIITA;FHIT;HCG9;MARCH8;LOC100287944;TTR;HLA-DPB2;TMEM175;PLXNA1;IGF2;DYRK1A;LIN28B;GTF2E2;NLRP11;
Angina Pectoris	CDKN2B-AS1;CDK5RAP1;ABCA1;RAD50;WWOX;C6orf103;GCK;SLC26A9;CCT7P2;CNTN4;C1GALT1;BCMO1;KITLG;DGKH;PAPL;SP140;PICALM;LOC100289473;KSR2;GNA12;TBX3;RBFOX1;EIF6;JAK2;SLC17A3;FAM126A;DUSP10;MTHFR;IL23R;PREX1;CCDC60;PBX1;FAT4;ATP10D;CAAP1;PTPRD;LOC643308;STAT2;
Multiple Sclerosis	HLA-DQB1;HLA-DQB2;HLA-DQA2;MTHFD1;HLA-DRB1;C6orf10;HLA-B;LRRC16A;MC1R;FLJ32955;NAALADL2;AGBL1;DIRC3;DMRT1;MGAT1;ZNF365;LRRN4;ZNF320;ABCG5;MMRN1;EFEMP1;BTN1A1;HLA-C;SGPP1;GNG4;BDNF-AS;PLCB2;MAP2K5;ST3GAL4;FAM110C;SNCA;GCKR;
Eye Infections	CRHR1;MAPT;WNT3;NSF;BATF;STXBP5;PLEKHM1;LUZP2;HLA-DRB1;CDK6;TCL1A;ICOSLG;RNF149;JMJD1C;HLA-DPA1;CNTN4;AR;ANK3;LBH;PHRF1;DENND4A;BAK1;ARMC2;
Autonomic Nervous System Diseases	ZMIZ1;HLA-DRA;BICD1;TNXB;TMC2;CD33;ULBP1;NOTCH4;NCR3;BAG6;ZP4;MSH5;TRIM24;CSMD2;PHACTR1;HLA-DQB1;DLEU7;MACROD2;IKZF4;HNF1A;ADCY9;ITPR2;IKZF1;IRF4;SLC14A2;GRAMD1B;C17orf62;CCND2;SLC8A3;ODF3B;PELI2;HELQ;
Carbuncle	NTNG2;NCF4;RPSAP52;POP1;SOST;PRNP;DLG2;ICOSLG;DBNDD1;ASAP2;SEMA3C;ZBTB16;BTN1A1;LOC199897;DCC;CMIP;TNFRSF11A;GLIS1;
Biliary cirrhosis	PCDH9;FHIT;TMCC2;GRM7;BTN1A1;ZNF93;RPSAP52;CDH13;SRPRB;DKK1;DYSF;GRAMD1B;PSORS1C1;TOX;IL12RB2;TNFSF4;BATF;
Back Pain	O3FAR1;UBASH3A;EPHA10;KCNT2;CLVS1;C1orf125;PALM2-AKAP2;RNF186;IL12B;ITLN1;CACNA1C;C2orf47;HHEX;ADARB2;ZNF280B;HOMER1;SOCS2;CTNND2;PALMD;TMCO1;MCPH1;TRAF3;HNF1A;PAX5;FAM49B;
Jaw Diseases	LOC100652824;TNFAIP2;DCC;TTC28;KCTD2;ADK;FOXL1;STAT6;LRP1;PCIF1;UBASH3A;LMX1B;FLJ41733;MICB;ATRIP;RASGRF1;GLTSCR1;GRAMD1B;MAFB;ST6GAL1;LDLR;GRIN2B;DOCK2;SPRY2;DUT;LOC441167;ARHGAP26;POLN;ASB18;EPDR1;FAM13A;
Diaphragmatic Hernia	COL25A1;GATA3;LRP1B;PRC1;NOTCH4;PRPSAP2;INHBA;MRC1;SHB;PARD6B;REL;SLC26A9;IRS1;TMEM79;LRRC18;MALT1;PSCA;PDZK1;HLA-DQA2;DNAH11;C1orf63;NAT2;SCARB1;ABCB11;NFKBIA;RNF43;CMIP;PAQR4;MBNL1;IFIH1;SUMF1;
Periapical Abscess	LRP1B;PLCL2;SLCO3A1;NUTF2;GNA15;EPS15;AAK1;ATP2B2;PUS10;SCN7A;TF;STAT4;BICD1;DACH1;ADAMTSL3;ACP5;TOPBP1;JAK2;SATB2;MYPN;CD180;EPHA10;IL12RB2;RPL21;HS3ST3A1;ODZ4;ICOSLG;JAM2;
Tuberculosis	CALM2;SLFN14;BACH2;NFKB1;MANBA;PTPRD;BMP4;HIST1H1D;CAMKK1;SLC22A3;BNC2;BLK;C3orf1;UNC13C;CDH4;CSF1;RFX6;IL12A;NAV2;DPP6;SLC2A13;PVT1;B3GNT2;ARHGAP31;
Gingivitis	PTPRG;THSD4;FTO;MAST4;RSPH6A;CRP;RTEL1;HLA-DPB1;HMGCR;GHR;IL1RL1;HMGA2;ATP10D;ZPLD1;CYP24A1;MIPEP;SLC8A3;PLCB2;LINGO1;ZGPAT;CCDC38;
Sexual and Gender Disorders	SIK3;BUD13;TSEN2;LRP1B;SVIL;CXCR5;IMMP2L;PECR;PAFAH1B2;DAP;FOXP4;ZNF259;LMO4;DEPDC5;WTAP;GPC5;MEPE;LIN28B;BCL11A;HLA-DQB1;PRKG2;HIP1;HEATR7B1;HMG20A;POP1;
Tympanic Membrane Perforation	EXTL2P1;PKNOX2;ABCG2;NUP153;MTCH2;SF3B4;SHROOM3;FBXO40;NCF4;VAV2;LOC100132354;C20orf196;PCSK2;REL;SDK2;MAX;KIAA1217;HIST1H1D;FAF1;RBM38;ARL6;
Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency	GMDS;PTPN22;MGC34034;BUD13;SP7;JMJD1C;ZFP90;CEP152;TMPRSS6;KLHL13;NIN;TACC3;ITPR3;CETP;DCAF12;PRF1;ARHGAP22;NCAM1;LRP1;FOXE1;BRD1;
Adenocarcinoma in Situ	IRF4;EXOC2;FUNDC1;CDK10;CDH13;TMCC2;BDNF;CAMSAP1L1;DBNDD1;C8orf12;CMTM8;TSHR;GP1BA;LINGO1;TYR;MEPE;STAT4;ST6GAL1;SPATS2L;FUBP3;MC1R;EDIL3;PCSK2;CD226;UNC13B;SLC9A9;DLEU7;SUMF1;SRPRB;LRIG1;FOXL1;THADA;SLTM;CD33;MAD2L1;ICAM4;SLC14A2;ACOXL;RGL1;GATA2;FAM177B;POPDC3;PLA2G12A;PKNOX2;SCG3;
Impetigo	GLI3;C10orf11;MAP3K3;IL1RAP;RREB1;DENND2A;MERTK;AKT3;FARP2;MC1R;FAM174B;TF;CD36;HLA-DRA;TMEM38B;DLEU7;PTPN2;ENG;TOX3;ZFP64;ARL5B;BIN1;
Hemorrhagic Disorders	SP140;PARD6B;HMGA1;CGNL1;UNC5C;CEBPE;BACH2;O3FAR1;IL1R2;ICAM1;SLC4A7;EML6;DLG2;TCF4;CSMD2;ZBTB46;PANK1;ST6GAL1;BMPR1B;KCNMA1;RBPMS;STAT4;IRS1;RPL21;
Otitis Media	PTTG1;ARHGAP26;TNS1;KIAA1109;ITGAM;BARD1;CDC42EP3;IL12A;CORO2B;LOC100287944;MCM8;PDE4D;ELMO1;ZNF827;LIPC;GAB1;ERCC4;CDH13;PCSK5;PRNP;TAB1;ZNF229;GABBR1;HERC2;TNFSF13;TPCN2;BTD;INO80D;PPAP2B;ESR1;HLA-B;CD163;LASS4;AHRR;SHROOM3;GCKR;ADCY9;COL13A1;CAMK2B;
Hyperhidrosis	DLEU7;MPV17L2;GLIS1;PRKCZ;ARMC2;TIMM23;FAT4;DCP1B;TMC2;EDC4;IL7R;CTNNA2;HOXC13;REL;WDR72;RPS6KA4;C10orf122;CRYGC;TACC3;
Presenile And Senile Dementia	TOMM40;VGLL3;ICAM4;ZNF365;ABCA7;ADAMTS14;DAB2IP;CSF2RB;CSMD1;SLCO1A2;MTHFR;MICA;CDK10;NR5A2;SLC26A3;TNXB;CDKN1A;CSMD2;ARHGAP22;CR1L;PSORS1C1;C8orf80;CCT7P2;CR1;DLEU7;EPB41L2;
Aortic Aneurysm	CDH8;SPRY2;NCR2;PGS1;CTLA4;ZBP1;NCAM2;MGC45800;ARPP21;CDKN2B-AS1;LIPC;TRIB3;NOS1AP;CENPC1;ULK4;CDH12;ZFP64;PTGER4;POPDC3;NUP153;FTO;SLC9A9;MC4R;ISG20;VSTM2B;EFCAB4B;C5orf30;BCAP29;NAA25;PPIL6;WDR12;ANKLE1;PKNOX1;TIMM23;GHSR;BCL11A;CR1;ACOXL;ODZ4;DBNDD1;PRKCZ;SLTM;APOB;SH2B3;CXCR5;ADAMTS12;TERT;ALPK1;SLC45A2;
Gangrene	VCAN;NTNG1;TAS1R2;FCER1A;PTPRD;IGF2BP2;MS4A6A;COL4A2;EGR2;MS4A4A;NOS1AP;IL12B;ANXA1;SERPINH1;SELP;RAD50;LBX1;RBMS1;JAZF1;PCSK2;CTAGE12P;MAP2K5;
Retinal Detachment	TNFSF15;RBMS1;B4GALT6;FAM126A;ZBTB17;HCG9;PPAP2B;TTN;GRIN2B;LOC391642;SLC12A7;MBNL2;IL10;SOX5;NKX2-3;CACNB2;BUD13;DTNB;PLEK;MXI1;HMGB1;SPRY4;UBASH3A;RPL22P13;ZNF259;MINPP1;HLA-DQB2;IL22RA2;DYRK1A;CD58;ASH2L;C4BPB;CMTM8;MET;LCORL;DPT;
Keratoconjunctivitis Sicca	EDA;MET;CSMD1;PXK;CRP;DUSP23;IL12A;PRKCE;SLC16A9;EGR2;ATOH7;PBLD;PADI4;G6PC2;TMPRSS6;MINPP1;FAM155A;TNFSF14;CRIM1;F12;CHD1L;XPO7;TBX5;POU5F1;EXOC3L2;CREB5;CCHCR1;
Ventricular Flutter	BRAP;CUBN;TNIP1;NAA25;NOTCH4;ESR1;HHIP;MANBA;RXRG;VSTM2B;TTC4P1;SLC45A2;NR1H3;IL1F10;APOB;CCND3;DUT;PKN2;CENPW;HLA-DQB2;CDKN2B-AS1;SH3GL2;LPP;ATXN2;CDK6;
Celiac Disease	MSH5;BAG6;NOTCH4;HLA-DQB1;BAT1;TNXB;PBX2;BTNL2;ZNRD1;NCR3;HLA-B;BAT2;HLA-DPB1;HLA-DQA2;CSMD1;C6orf10;HLA-DOA;APOB;NCAN;OSBPL10;MEIS1;CCHCR1;CACNA1C;UBXN4;GNA12;UBASH3A;ITIH1;SOX4;FADS2;HLA-DRA;IRF4;BOK;CALM2;DYRK1A;LRRC4C;S100A5;HK1;HLA-A;PBRM1;CTNNA2;SNX16;
Stomach Diseases	PLCB1;CDH8;XPO7;PTPRD;PKNOX1;SOX5;PSCA;IRF2BPL;CRTC1;TOMM40;C6orf170;FASTKD2;TMED10;TSEN15;MGC45800;C14orf181;
Hypertensive Retinopathy	SEC14L1;CHIC2;IL11;EXOC2;LDLR;C8orf47;IKZF3;FBXL20;DNAI2;GSDMB;C2CD4B;RFTN1;REV3L;FUBP3;CYP24A1;DNAJC6;GRIK2;SFPQ;APOA5;ZNF365;PEX5L;
"Carcinoma, Renal Cell"	MUC22;HAS3;INSR;EDNRA;PHEX;IGF2BP2;HLA-B;CPEB4;SEZ6L2;HSD17B6;RNF5P1;ZNF536;FDFT1;PPP1R3B;
Colonic Neoplasms	FAM177B;LOC285696;SLC17A1;SELL;TSLP;NCAM1;SLCO6A1;GPR126;RGS1;EML6;HLA-DRB1;CDRT4;PLA2G12A;C6orf204;NOS1AP;FAS;SLC44A4;SIPA1L1;GPC5;LAMA5;C6orf10;GRB10;HRG;RAB3GAP1;DLEU7;POU3F2;TNFSF15;FBN2;HLA-DQA2;CFI;CYP2C18;PLEKHM1;IRGM;NCR3;WDR12;SLC16A9;KSR2;CACNA1C;NEGR1;ZPBP;ARHGAP22;SELP;HHIP;HLA-B;HLA-DQB1;THRB;POLG;PLCE1;DBNDD1;NUCKS1;PARD3;GNA12;HCCS;WDR66;FLJ32955;ZNF462;CCDC26;ODZ4;TYR;NRXN3;NUP205;ZNF157;MOBP;SLC6A1;CD58;FGB;FUT2;SLC12A9;SOCS2;TNXB;TRPM6;RFC3;MYH7B;
Hypernatremia	LOC199897;TNFRSF1A;TGFA;C6orf10;TNFRSF10A;CDH4;KCNE1;CLSTN2;PPIL6;C5orf36;TTC3;SHROOM3;SLC25A43;TNFRSF13B;DNAJC6;CNTN5;GIPR;MCF2L;CDKN2B-AS1;OSBPL1A;ITGA8;ACE;ARHGEF3;UBASH3A;PTPRG;IRF2BPL;QPCTL;
Respiratory Tract Neoplasms	NOS2;RBMS3;KCNE1;HMGA1;SLC6A13;CCND2;MYH9;HHIP;ZNF462;SNCA;NFIA;GLG1;EHBP1;PTBP2;LEPR;
Cardiac Conduction Defect	NFAT5;ST3GAL4;LOC100289473;FOXP4;CDKN2B-AS1;OR4A15;IRF8;SELP;AKAP6;IL27;LSM1;C6orf129;MSRA;DISC1;DCC;SNCA;ARHGAP22;HMGA2;SLC1A7;RAB11B;L3MBTL4;
Sleep disorders	PDE3A;MITF;CR1L;C15orf32;VWA5A;ELMO1;APOL1;PLEK;HUNK;DSC3;SPRY2;FAF1;GRM7;MACROD2;CCND3;CD33;C15orf38;BCL11A;NOD2;IVD;NINJ2;ME2;PHEX;UNC13C;MICAL3;EEF1A1P14;IGF2BP2;C7orf50;CST5;ARAP1;UMOD;BTNL2;IGF2BP1;FAM91A1;SLCO3A1;
"Sleep Apnea, Central"	RUNX3;IVD;SLC24A4;CXCR4;IL26;TBX3;FAS;PKNOX2;RIT2;ME2;DTNB;TNFRSF1A;CDKN2B-AS1;DISC1;RNF212;CCDC134;SETD7;TNFRSF21;NOS2;SERPINH1;TERT;PLAG1;SF1;
Asthma	CDH4;SLC45A2;FARP1;ARL5B;CD86;FSTL4;RFX6;SLC14A2;NFATC4;MIR622;ILKAP;PCDP1;AKD1;HLA-DQB2;IL1RL1;FAM131C;ATP2B1;KCNIP4;STIM2;IL33;SREBF1;ELMO1;RAB4B;ANO6;CXCR4;GRIA1;HLA-DRA;HLA-DQA2;CNTN4;IL18R1;SLC22A23;DNAH5;SLC22A18;EDIL3;POLR2A;TGFBRAP1;NCR2;ZBTB38;OSBPL1A;TOMM40;PSMG1;CSMD2;TMCC2;SP7;PC;MGC87042;H2AFY;DEPDC5;PRKAR2B;SLC9A9;KCTD2;ANTXR2;ATPBD4;PKNOX2;EXOC3;IL1RAP;CIITA;PLEKHA1;CD40;
Vitamin B 12 Deficiency	CACNB3;GSDMA;IL6R;UNC13C;JMJD1C;CHRNA3;DUSP10;NOTCH4;MGC87042;GSDMB;ARAP2;ADCY9;ATP8B1;IKZF3;NLGN1;TRIM10;SIK3;LAMA2;TRAF3IP1;SALL3;AGPHD1;APBB1IP;TBC1D30;TAGAP;CUBN;HCCS;TNFSF11;IL12A;
Lymphadenitis	BTBD1;BCMO1;DOCK8;NBPF3;ABCG5;ERAP1;FASTKD2;STXBP5;ANTXR2;HLA-DQA2;MSH5;ARHGAP31;C20orf132;IL23R;BAG6;MYSM1;HLA-B;DYRK1A;FBXL20;MX2;C1QTNF7;EREG;NTNG1;PDE4D;UNC13A;TSLP;SLCO3A1;FRMD4A;NOTCH4;VGLL4;RPN2;
Optic Neuritis	CCL21;PAFAH1B2;CBS;RNF43;DNM1;CSF2RB;REV3L;PKNOX2;STX6;ATXN1;TSHR;ACBD4;ADK;KCNMA1;STAT2;DYSF;CD247;MERTK;FAT4;SIK3;HBBP1;ATF7IP;GLI3;DOCK7;NCKAP5;RIMS1;RORA;PTPRG;RAB11B;CDK2;PHLDB1;
