Disease name	List of shared genes
Sensation Disorders	MKL1;FBN2;IL1RAP;RBBP8;APOB;GHSR;PEX5L;ZDHHC19;CETP;OSBPL10;BAI3;BCMO1;TSEN2;CHL1;
Dysthymic Disorder	TBC1D30;FREM2;PLXNA1;GATA3;SP8;BET1L;DRD2;MAST4;EPHA1;ETV6;USP40;SCAMP3;NKX2-1;PTGFR;ITM2A;GPLD1;SEL1L3;MX2;SFPQ;FARP2;BARD1;
Diverticulosis	RUNX3;SLC9A9;BMP6;BNC2;TNFSF4;RPSAP52;ZNF492;RBMS1;CAMK4;PALMD;RAB3GAP1;CXCL12;PSMD6;IL2RA;TFF1;RAD51B;FOXO3;PANK1;BCMO1;
Mouth Neoplasms	TCL1A;GABRB3;TNXB;TMEM38B;CRIM1;CYP20A1;NPLOC4;FAM13A;SLC22A1;HDAC9;LOC199897;AMIGO2;FARP1;MAL2;
Bursitis	IRF1;ZMIZ1;MYLIP;ASAH1;IL17REL;ABCG1;ADH1C;PADI4;BCR;ZNF767;C13orf31;MAOA;ZFP36L1;AFF1;PID1;KHDRBS2;SPRY2;LRRC16A;CYP2C18;SH3GL2;POU4F1-AS1;SLC45A2;PRL;AHRR;
"Neoplasms, Connective Tissue"	DARC;UBE3C;SH3GL3;ADAMTSL3;ICOS;BCO2;UNC13A;THADA;HLA-DPA1;STAT4;ZFP36L1;HLA-DRA;BAT2;CDRT4;ARG1;ADAM19;C8orf84;SEMA3C;NEIL3;VCAN;SGSM2;
"Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"	TRIB3;RERE;ZNRD1-AS1;LBH;TP63;FGFR1OP;BHLHE40;FGF7;PLEKHA7;ZNF385D;CAPZB;SPATA7;DLEU7;IKZF1;FOXG1;SRR;IL6R;HLA-F;PABPC4;TMEM50A;
"Pyogenic arthritis, pyoderma gangrenosum, and acne"	TRHDE;CBS;LMX1B;DYNC1H1;LMO4;TOPBP1;GLTSCR1;SLIT2;PTPRD;CDH13;GDAP1;SLC30A7;MARC1;MICAL3;NCAM2;MAFB;MGST3;ZNF365;CLECL1;BIN2;LCORL;TPCN2;CD69;FUT8;UMOD;CLEC2D;PCSK5;ANTXR1;HLA-DRA;
Movement Disorders	INSR;RYR2;ATP1B1;RREB1;KCNN3;C6orf57;FGFR2;PRPH;C1GALT1;EPHA5;AMIGO2;UNC13A;RPSAP52;GARNL3;CDKN2B-AS1;ILKAP;POP1;CACNB2;LOC643308;PCDP1;FRMD4B;CDKN2B;ISM1;ARHGEF3;
"Diabetes Mellitus, Type 2"	TCF7L2;HLA-DQB1;BAG6;MSH5;IRS1;CFH;HLA-DRA;HLA-DRB1;JAZF1;CDKAL1;IL1RAP;HLA-DQA2;FTO;SLC30A8;PROX1;TNXB;NOTCH4;BAT2;HHEX;BTNL2;BAT1;IL17REL;MTNR1B;DUSP9;IRF2BPL;ABCA1;PABPC4;C6orf10;C2CD4B;ZNRD1;LYPLAL1;MICB;OR9G1;API5;SEC14L1;ZNF385D;HLA-DQB2;THRB;ZNF746;CHRNA3;HNF1A;PSMB8;VGLL3;ADH7;IL1R2;NFAT5;SKIV2L;GRIN2B;IMMP2L;AGPHD1;EFCAB4B;FGF1;NKX3-1;GCKR;IL18R1;PTGFR;C6orf97;CRP;CDH4;FOXO6;DNAH5;ARPP21;CDKN1A;TTLL7;AHI1;OR5H2;POU4F1-AS1;CDK10;STIM2;POPDC3;PRKCZ;KIF11;FREM1;
Seborrhea-Like Dermatitis with Psoriasiform Elements	COL27A1;MCPH1;AFAP1L2;MRAS;MRC1;CETP;EXTL2;SLCO1B1;ZNF157;SERPINH1;LOC100287944;WDR7;SUPT3H;SLC22A18;THADA;CCDC26;C5orf56;
Mycoses	TSEN2;NXPH2;BET1L;LPAR3;JAM2;HS3ST3B1;FAM55B;SEZ6L2;NFKBIA;ACADL;CR1L;IL12A;RASGRP1;USP46;SOCS6;CHL1;MTMR3;TRIM10;PALB2;PRC1;MEPE;GJA1;DRD2;TPCN2;CXCL12;ABCB11;
Parkinson Disease	UQCC;ZMIZ1;ELMO1;TSEN15;GLT25D2;FGF5;USP44;CACNB2;VEGFA;ATP5SL;BCL11A;RGL1;ZNF229;ZFAND3;ICOSLG;ELOVL2;IRGM;FLJ41733;FLJ32955;CABLES1;OR4A15;API5;ALS2CR12;ARG1;BARD1;GHR;
Salivary Gland Diseases	CUBN;BMPR1B;FADS3;KIF16B;SGCD;SELL;MXI1;FADS2;IVD;ALPK1;PVT1;CENPF;CLU;GPC5;ZBTB17;KITLG;FADS1;CCDC60;RERE;WNT3;
Herpes Zoster	PRC1;CPAMD8;CCL4L2;DNAJC15;IL33;THADA;FAM131C;KIF13A;PRKG1;KIAA1462;CRYGC;DOK2;INSR;EFHD1;TNFRSF13B;REV3L;TNFAIP2;TERT;CRTC3;EDA;TRIM10;CDC42BPB;NFE2;OSBPL10;PSD3;LPL;IGF2R;GPLD1;C6orf10;BCL11A;ATP2B2;LCE3E;ZP4;MMP3;MUC22;PLEK;HCG9;DPEP2;KCNN3;HLA-F-AS1;ACCN1;FOXO3;TFF1;KCNQ1;AK3;
Raynaud Disease	TF;NTRK3;IL26;FARP1;PZP;ZNRD1-AS1;DARC;IRF2BPL;ZMIZ1;PALM2-AKAP2;ANXA9;RHPN2;RNF212;DBNDD1;GRB14;ERAP1;CADM3;IVD;RGS1;NTM;CYP4F2;
Esophageal Atresia	NCAN;ZNF365;CETP;WDR64;CDKAL1;RYR2;ATOH7;TRAF3;REL;OPA3;CRIM1;ODF3B;SNTB1;MMRN1;HBBP1;KCNQ1;DNAH11;ZGPAT;EMBP1;SSBP2;
Paget Disease Of Bone 4	TMEM38B;PDE4D;MEPE;ANKLE1;MYO1D;EDA;ARL14;SUSD1;MACROD2;RHPN2;SCAMP3;CLPTM1L;C6orf15;
